user_id,ratings_given,avg_rating_given
12874,200,3.45
30944,200,4.21
28158,199,3.9396984924623117
12381,199,3.4271356783919598
52036,199,3.442211055276382
45554,197,4.030456852791878
6630,197,3.5736040609137056
37834,196,4.13265306122449
24143,196,3.9489795918367347
15604,196,3.954081632653061
14372,196,3.6020408163265305
19729,196,3.663265306122449
9668,196,3.8418367346938775
7563,196,3.5
9806,196,3.63265306122449
25840,195,4.01025641025641
10509,195,3.835897435897436
33065,195,3.9641025641025642
38798,195,3.651282051282051
9731,195,3.1794871794871793
32745,194,3.7010309278350517
10288,194,3.9278350515463916
17566,194,3.5721649484536084
26718,194,3.5463917525773194
53293,194,5.0
8167,193,3.4974093264248705
26629,193,4.098445595854923
26145,193,3.155440414507772
25164,193,3.616580310880829
28767,193,3.3108808290155443
50999,193,3.6373056994818653
23603,193,3.5803108808290154
39703,193,4.7979274611398965
24499,193,3.238341968911917
32305,193,3.4559585492227978
49288,193,5.0
43602,193,4.036269430051814
32748,193,4.300518134715026
3739,193,4.274611398963731
2487,193,3.2642487046632125
12471,192,3.6458333333333335
49297,192,5.0
48687,192,4.770833333333333
49289,192,5.0
53292,192,5.0
49295,192,5.0
6342,192,3.796875
5645,191,4.518324607329843
42574,191,4.554973821989528
9011,191,2.7853403141361257
